Symptoms,Severity
explosive slight case of knee inflammation,High
explosive episodic eye ulcer,High
intense back fatigue,High
uncontrolled recurring kidney pain,High
intense acute case of back bleeding,High
advanced arm spasm,High
advanced hand inflammation,High
persistent high-grade constant shoulder weakness,High
terminal foot rash,High
terminal acute case of knee palpitations,High
severe lung trauma,High
advanced recurring shoulder stiffness,High
critical episodic leg pain,High
uncontrolled ear fatigue,High
acute arm lesion,High
life-threatening hand failure,High
critical stomach numbness,High
rapid onset knee obstruction,High
sharp hand burns,High
decompensated occasional throat rash,High
explosive head swelling,High
complicated back congestion,High
complicated throat congestion,High
toxic recurring kidney rash,High
uncontrolled nose stiffness,High
explosive stomach spasm,High
decompensated stomach stiffness,High
advanced knee fatigue,High
acute head fatigue,High
uncontrolled gradual arm weakness,High
acute sudden onset of kidney fracture,High
rapid onset nose cramps,High
advanced severe episode of arm numbness,High
advanced neck lesion,High
severe nose rash,High
toxic occasional eye rash,High
life-threatening constant abdomen obstruction,High
advanced chronic leg inflammation,High
complicated stomach cramps,High
persistent high-grade episodic shoulder weakness,High
toxic nose weakness,High
uncontrolled neck fatigue,High
uncontrolled acute case of shoulder weakness,High
life-threatening foot obstruction,High
intense sudden lung rash,High
explosive foot fracture,High
profuse chronic kidney shock,High
terminal chest ulcer,High
terminal chest palpitations,High
complicated severe episode of liver burns,High
complicated lung inflammation,High
persistent high-grade gradual ear fracture,High
rapid onset chronic eye lesion,High
explosive gradual nose cramps,High
critical hand fracture,High
decompensated head pain,High
severe constant arm obstruction,High
persistent high-grade knee palpitations,High
persistent high-grade heart spasm,High
complicated kidney failure,High
explosive sudden stomach bleeding,High
uncontrolled severe episode of nose inflammation,High
advanced severe episode of abdomen pain,High
crushing slight case of kidney fracture,High
hemorrhagic acute case of knee failure,High
profuse shoulder lesion,High
toxic back trauma,High
hemorrhagic lung infection,High
acute abdomen tremor,High
profuse sudden onset of eye stiffness,High
crushing episodic ear pain,High
decompensated knee stiffness,High
sharp leg congestion,High
advanced slight case of ear burns,High
life-threatening hand ulcer,High
persistent high-grade chronic lung obstruction,High
persistent high-grade slight case of abdomen numbness,High
profuse progressive neck numbness,High
profuse arm swelling,High
explosive eye congestion,High
sharp head inflammation,High
crushing abdomen weakness,High
rapid onset severe episode of ear inflammation,High
rapid onset gradual kidney pain,High
acute chest trauma,High
uncontrolled progressive ear burns,High
toxic chronic back infection,High
terminal slight case of neck infection,High
acute recurring heart tremor,High
massive hand lesion,High
complicated constant foot cramps,High
uncontrolled stomach lesion,High
uncontrolled severe episode of leg weakness,High
persistent high-grade chronic eye lesion,High
complicated ear rash,High
terminal gradual head fracture,High
toxic foot bleeding,High
hemorrhagic chronic eye weakness,High
uncontrolled occasional neck lesion,High
toxic heart fatigue,High
persistent high-grade acute case of knee swelling,High
crushing heart fracture,High
sharp constant throat inflammation,High
acute lung shock,High
profuse nose burns,High
acute leg tremor,High
persistent high-grade severe episode of back palpitations,High
explosive heart fracture,High
complicated hand palpitations,High
intense progressive neck cramps,High
advanced severe episode of eye swelling,High
sharp acute case of foot lesion,High
sharp throat failure,High
intense sudden head congestion,High
severe ear pain,High
severe episodic eye ulcer,High
uncontrolled severe episode of shoulder congestion,High
acute throat bleeding,High
critical episodic stomach lesion,High
acute knee inflammation,High
decompensated chronic throat spasm,High
complicated episodic heart fracture,High
sharp nose cramps,High
crushing shoulder congestion,High
explosive ear tremor,High
advanced acute case of knee congestion,High
persistent high-grade chronic chest fracture,High
life-threatening arm bleeding,High
life-threatening back rash,High
decompensated heart trauma,High
decompensated kidney congestion,High
life-threatening sudden onset of kidney rash,High
rapid onset shoulder burns,High
crushing kidney pain,High
rapid onset sudden leg ulcer,High
severe recurring lung lesion,High
rapid onset episodic neck pain,High
acute nose weakness,High
explosive shoulder cramps,High
profuse sudden eye burns,High
acute progressive leg pain,High
massive slight case of leg spasm,High
massive liver rash,High
hemorrhagic stomach numbness,High
rapid onset occasional leg trauma,High
uncontrolled leg failure,High
crushing foot fracture,High
complicated recurring foot bleeding,High
crushing arm trauma,High
intense constant leg palpitations,High
explosive gradual back bleeding,High
complicated sudden onset of foot congestion,High
crushing occasional hand failure,High
uncontrolled recurring kidney obstruction,High
decompensated acute case of throat swelling,High
life-threatening knee trauma,High
rapid onset kidney rash,High
persistent high-grade occasional throat bleeding,High
explosive stomach burns,High
complicated knee infection,High
toxic severe episode of foot failure,High
decompensated gradual eye spasm,High
intense constant leg obstruction,High
profuse hand pain,High
uncontrolled sudden lung lesion,High
terminal chronic shoulder weakness,High
acute liver ulcer,High
life-threatening arm obstruction,High
severe slight case of abdomen weakness,High
critical throat inflammation,High
toxic lung ulcer,High
uncontrolled hand bleeding,High
persistent high-grade slight case of ear fracture,High
uncontrolled abdomen congestion,High
terminal gradual head spasm,High
rapid onset sudden onset of eye stiffness,High
sharp acute case of shoulder failure,High
rapid onset episodic hand congestion,High
severe hand trauma,High
crushing acute case of nose swelling,High
massive head bleeding,High
acute hand tremor,High
rapid onset acute case of back stiffness,High
rapid onset arm fatigue,High
terminal occasional nose shock,High
advanced neck fatigue,High
acute shoulder palpitations,High
advanced acute case of kidney palpitations,High
massive foot infection,High
terminal occasional leg pain,High
crushing progressive leg ulcer,High
acute foot numbness,High
terminal liver rash,High
toxic back burns,High
sharp back bleeding,High
crushing acute case of kidney obstruction,High
sharp occasional eye infection,High
uncontrolled progressive nose shock,High
toxic constant foot weakness,High
explosive constant neck failure,High
persistent high-grade sudden eye swelling,High
life-threatening knee ulcer,High
life-threatening gradual heart lesion,High
intense knee burns,High
crushing heart palpitations,High
advanced stomach rash,High
acute knee infection,High
sharp abdomen weakness,High
hemorrhagic constant arm fatigue,High
uncontrolled recurring heart tremor,High
critical constant kidney trauma,High
advanced ear palpitations,High
explosive heart cramps,High
hemorrhagic sudden onset of chest palpitations,High
life-threatening progressive lung ulcer,High
decompensated neck shock,High
explosive acute case of throat swelling,High
decompensated throat ulcer,High
severe chronic ear obstruction,High
severe episodic chest infection,High
severe nose inflammation,High
massive gradual foot swelling,High
terminal acute case of back stiffness,High
intense severe episode of chest fatigue,High
persistent high-grade occasional foot infection,High
severe progressive head shock,High
acute progressive shoulder infection,High
toxic foot lesion,High
terminal episodic stomach rash,High
persistent high-grade progressive neck rash,High
critical sudden onset of foot congestion,High
toxic sudden eye ulcer,High
profuse arm pain,High
life-threatening occasional lung ulcer,High
advanced gradual ear palpitations,High
crushing leg fatigue,High
decompensated sudden onset of chest inflammation,High
persistent high-grade gradual leg bleeding,High
critical head swelling,High
decompensated ear failure,High
advanced severe episode of hand rash,High
critical sudden onset of nose spasm,High
acute shoulder burns,High
massive recurring heart tremor,High
decompensated sudden back lesion,High
decompensated acute case of ear infection,High
complicated acute case of neck bleeding,High
decompensated sudden onset of ear inflammation,High
life-threatening severe episode of heart numbness,High
persistent high-grade kidney inflammation,High
massive gradual lung shock,High
severe kidney inflammation,High
decompensated chronic knee shock,High
toxic eye fatigue,High
terminal sudden onset of hand burns,High
acute chronic abdomen numbness,High
life-threatening constant throat weakness,High
profuse chronic hand weakness,High
hemorrhagic gradual leg failure,High
toxic severe episode of arm shock,High
intense hand bleeding,High
life-threatening kidney numbness,High
hemorrhagic lung cramps,High
decompensated arm trauma,High
rapid onset occasional kidney numbness,High
acute acute case of back numbness,High
massive severe episode of abdomen inflammation,High
massive occasional heart fracture,High
crushing sudden onset of foot rash,High
severe progressive throat pain,High
terminal leg weakness,High
acute eye stiffness,High
life-threatening slight case of nose trauma,High
decompensated nose swelling,High
hemorrhagic recurring shoulder infection,High
explosive arm infection,High
uncontrolled heart palpitations,High
advanced chronic leg pain,High
explosive foot burns,High
acute kidney fatigue,High
rapid onset nose fracture,High
life-threatening severe episode of nose stiffness,High
toxic liver fracture,High
rapid onset gradual arm obstruction,High
terminal chest lesion,High
severe gradual ear failure,High
toxic stomach inflammation,High
terminal nose infection,High
intense hand ulcer,High
profuse eye swelling,High
toxic foot numbness,High
decompensated gradual liver obstruction,High
toxic stomach inflammation,High
critical leg palpitations,High
uncontrolled constant head spasm,High
severe sudden onset of arm cramps,High
rapid onset heart inflammation,High
sharp acute case of arm congestion,High
advanced recurring back ulcer,High
severe lung ulcer,High
profuse progressive neck fatigue,High
advanced chronic lung burns,High
sharp lung trauma,High
complicated throat rash,High
acute head pain,High
profuse sudden back burns,High
massive sudden onset of ear lesion,High
uncontrolled sudden stomach pain,High
terminal chest pain,High
explosive severe episode of head swelling,High
rapid onset gradual foot tremor,High
critical episodic arm fracture,High
sharp liver congestion,High
decompensated slight case of neck congestion,High
advanced episodic arm trauma,High
hemorrhagic chronic hand spasm,High
severe neck spasm,High
decompensated chronic nose numbness,High
uncontrolled leg inflammation,High
uncontrolled recurring knee infection,High
explosive abdomen weakness,High
severe occasional neck obstruction,High
crushing recurring shoulder palpitations,High
severe recurring head burns,High
decompensated slight case of heart ulcer,High
complicated occasional abdomen inflammation,High
explosive constant arm numbness,High
uncontrolled throat swelling,High
complicated slight case of neck lesion,High
life-threatening progressive ear burns,High
terminal progressive kidney bleeding,High
hemorrhagic head inflammation,High
sharp sudden ear burns,High
hemorrhagic sudden head tremor,High
critical slight case of hand trauma,High
crushing leg lesion,High
persistent high-grade stomach obstruction,High
sharp abdomen fatigue,High
rapid onset acute case of arm weakness,High
complicated gradual shoulder infection,High
intense kidney weakness,High
persistent high-grade heart spasm,High
complicated progressive neck numbness,High
critical kidney cramps,High
acute foot stiffness,High
profuse slight case of leg obstruction,High
sharp liver infection,High
intense head bleeding,High
profuse chronic kidney numbness,High
toxic chronic leg palpitations,High
profuse back rash,High
crushing nose ulcer,High
acute back stiffness,High
toxic back weakness,High
hemorrhagic constant nose trauma,High
critical progressive abdomen inflammation,High
toxic progressive throat inflammation,High
crushing gradual arm tremor,High
terminal sudden onset of lung obstruction,High
profuse stomach swelling,High
crushing ear obstruction,High
uncontrolled head lesion,High
intense progressive foot stiffness,High
critical heart palpitations,High
severe heart weakness,High
toxic occasional back ulcer,High
intense gradual shoulder fatigue,High
advanced episodic shoulder congestion,High
persistent high-grade gradual hand fracture,High
critical eye bleeding,High
complicated back numbness,High
advanced occasional neck swelling,High
crushing neck palpitations,High
terminal slight case of neck pain,High
persistent high-grade foot inflammation,High
life-threatening episodic nose burns,High
sharp chronic stomach ulcer,High
toxic occasional arm bleeding,High
explosive lung ulcer,High
decompensated recurring ear tremor,High
uncontrolled gradual hand ulcer,High
toxic heart fracture,High
explosive nose fatigue,High
rapid onset episodic neck fatigue,High
intense shoulder burns,High
life-threatening sudden abdomen inflammation,High
sharp hand lesion,High
uncontrolled episodic heart trauma,High
persistent high-grade throat pain,High
persistent high-grade stomach stiffness,High
intense chronic stomach congestion,High
uncontrolled chest tremor,High
persistent high-grade kidney shock,High
explosive lung congestion,High
persistent high-grade back numbness,High
hemorrhagic abdomen infection,High
life-threatening throat lesion,High
severe neck tremor,High
severe lung fracture,High
persistent high-grade acute case of back failure,High
hemorrhagic arm failure,High
severe episodic arm stiffness,High
uncontrolled occasional liver trauma,High
toxic arm shock,High
acute back failure,High
acute sudden onset of shoulder inflammation,High
acute head lesion,High
critical lung spasm,High
severe heart infection,High
life-threatening nose pain,High
complicated progressive arm lesion,High
advanced occasional heart infection,High
severe chest numbness,High
persistent high-grade acute case of hand bleeding,High
acute progressive foot trauma,High
terminal slight case of arm tremor,High
complicated recurring knee congestion,High
advanced abdomen inflammation,High
toxic neck palpitations,High
acute eye fracture,High
terminal abdomen pain,High
life-threatening sudden onset of abdomen tremor,High
acute sudden hand fracture,High
massive kidney obstruction,High
terminal chest weakness,High
complicated foot inflammation,High
explosive throat inflammation,High
hemorrhagic severe episode of arm cramps,High
advanced episodic chest spasm,High
persistent high-grade recurring eye cramps,High
profuse occasional neck stiffness,High
intense knee spasm,High
hemorrhagic stomach palpitations,High
acute throat shock,High
sharp nose bleeding,High
massive sudden onset of nose tremor,High
toxic hand fatigue,High
critical nose tremor,High
toxic foot inflammation,High
rapid onset episodic neck bleeding,High
complicated episodic kidney fracture,High
uncontrolled abdomen fracture,High
persistent high-grade chronic foot stiffness,High
life-threatening kidney fracture,High
uncontrolled liver fracture,High
profuse eye congestion,High
rapid onset constant liver spasm,High
uncontrolled chronic neck stiffness,High
explosive heart palpitations,High
acute recurring neck trauma,High
persistent high-grade slight case of ear tremor,High
acute occasional back ulcer,High
massive slight case of stomach spasm,High
severe nose infection,High
uncontrolled nose inflammation,High
rapid onset lung inflammation,High
critical occasional chest trauma,High
hemorrhagic constant chest lesion,High
sharp liver tremor,High
terminal lung lesion,High
complicated recurring stomach fracture,High
acute sudden hand fatigue,High
massive sudden onset of stomach congestion,High
decompensated occasional back trauma,High
crushing leg rash,High
advanced shoulder fatigue,High
critical liver rash,High
complicated gradual neck fracture,High
crushing eye numbness,High
life-threatening episodic arm congestion,High
rapid onset acute case of liver congestion,High
advanced recurring nose tremor,High
decompensated episodic heart congestion,High
life-threatening slight case of lung bleeding,High
acute sudden shoulder weakness,High
explosive recurring chest stiffness,High
complicated chronic foot spasm,High
hemorrhagic acute case of back obstruction,High
decompensated slight case of arm fatigue,High
explosive back numbness,High
rapid onset severe episode of kidney shock,High
terminal gradual stomach numbness,High
rapid onset back pain,High
sharp severe episode of head palpitations,High
toxic throat spasm,High
complicated acute case of stomach burns,High
explosive episodic back rash,High
sharp recurring arm numbness,High
persistent high-grade sudden chest numbness,High
severe throat fatigue,High
life-threatening episodic foot swelling,High
explosive chest stiffness,High
sharp kidney swelling,High
persistent high-grade chest burns,High
critical abdomen cramps,High
decompensated foot shock,High
hemorrhagic severe episode of neck cramps,High
crushing stomach cramps,High
toxic acute case of stomach shock,High
hemorrhagic neck palpitations,High
severe sudden onset of kidney palpitations,High
crushing sudden throat trauma,High
profuse gradual leg tremor,High
sharp lung congestion,High
life-threatening progressive ear ulcer,High
life-threatening nose stiffness,High
complicated throat burns,High
decompensated liver burns,High
decompensated acute case of stomach pain,High
persistent high-grade slight case of leg cramps,High
massive severe episode of neck weakness,High
persistent high-grade sudden onset of arm inflammation,High
persistent high-grade chest numbness,High
hemorrhagic acute case of hand shock,High
advanced sudden onset of hand palpitations,High
profuse sudden stomach trauma,High
advanced severe episode of stomach bleeding,High
life-threatening nose ulcer,High
sharp episodic knee trauma,High
sharp eye swelling,High
persistent high-grade stomach obstruction,High
toxic severe episode of arm tremor,High
sharp abdomen fracture,High
crushing chest fatigue,High
severe progressive abdomen congestion,High
severe progressive throat failure,High
life-threatening back bleeding,High
massive gradual abdomen swelling,High
advanced shoulder fracture,High
critical neck stiffness,High
decompensated sudden onset of hand numbness,High
uncontrolled recurring head tremor,High
terminal liver cramps,High
critical back infection,High
explosive lung infection,High
massive kidney tremor,High
massive arm palpitations,High
complicated occasional hand weakness,High
uncontrolled lung congestion,High
persistent high-grade slight case of abdomen failure,High
advanced nose stiffness,High
life-threatening ear weakness,High
decompensated hand obstruction,High
terminal lung shock,High
hemorrhagic acute case of lung pain,High
profuse foot palpitations,High
terminal heart pain,High
explosive recurring hand tremor,High
intense occasional arm swelling,High
terminal occasional head fatigue,High
massive kidney tremor,High
uncontrolled ear inflammation,High
intense gradual stomach pain,High
sharp recurring knee spasm,High
complicated progressive arm trauma,High
toxic neck lesion,High
complicated constant foot fatigue,High
explosive gradual lung pain,High
massive recurring heart bleeding,High
toxic hand bleeding,High
terminal ear rash,High
persistent high-grade foot pain,High
uncontrolled chronic hand failure,High
complicated back pain,High
rapid onset sudden onset of throat weakness,High
massive neck burns,High
complicated occasional throat fracture,High
intense eye fracture,High
toxic shoulder bleeding,High
hemorrhagic occasional shoulder tremor,High
complicated recurring chest tremor,High
rapid onset kidney pain,High
hemorrhagic head cramps,High
toxic sudden onset of hand swelling,High
explosive occasional abdomen shock,High
sharp gradual foot fracture,High
uncontrolled severe episode of knee stiffness,High
intense liver obstruction,High
massive abdomen infection,High
advanced occasional arm fracture,High
terminal occasional ear numbness,High
persistent high-grade leg congestion,High
crushing severe episode of shoulder inflammation,High
persistent high-grade shoulder stiffness,High
advanced recurring knee fracture,High
massive chest shock,High
decompensated slight case of ear lesion,High
life-threatening progressive heart swelling,High
toxic severe episode of liver rash,High
advanced arm fatigue,High
acute ear trauma,High
advanced severe episode of lung numbness,High
toxic shoulder numbness,High
persistent high-grade chronic kidney spasm,High
rapid onset foot spasm,High
critical gradual nose obstruction,High
toxic ear bleeding,High
uncontrolled constant lung numbness,High
massive slight case of chest swelling,High
complicated occasional back burns,High
critical chronic throat stiffness,High
massive chest pain,High
persistent high-grade neck fracture,High
terminal throat swelling,High
critical leg spasm,High
crushing ear cramps,High
acute gradual abdomen tremor,High
uncontrolled slight case of arm inflammation,High
uncontrolled recurring back bleeding,High
explosive constant heart lesion,High
persistent high-grade slight case of head cramps,High
sharp severe episode of foot obstruction,High
complicated leg fracture,High
explosive recurring hand failure,High
uncontrolled severe episode of stomach bleeding,High
advanced chronic leg shock,High
advanced heart infection,High
life-threatening liver lesion,High
profuse nose rash,High
severe kidney failure,High
severe constant arm congestion,High
complicated sudden onset of stomach fatigue,High
rapid onset progressive head lesion,High
severe recurring leg ulcer,High
intense hand obstruction,High
massive slight case of abdomen infection,High
crushing hand pain,High
profuse shoulder failure,High
toxic heart fracture,High
profuse abdomen inflammation,High
severe chronic throat spasm,High
complicated episodic lung fracture,High
terminal sudden onset of lung palpitations,High
terminal knee congestion,High
massive head pain,High
toxic recurring leg infection,High
uncontrolled gradual liver fatigue,High
massive acute case of neck burns,High
acute kidney lesion,High
hemorrhagic progressive neck shock,High
intense progressive leg ulcer,High
rapid onset gradual chest cramps,High
severe sudden onset of heart cramps,High
persistent high-grade constant arm cramps,High
life-threatening recurring shoulder trauma,High
massive severe episode of kidney pain,High
toxic throat rash,High
decompensated occasional knee shock,High
terminal gradual throat stiffness,High
severe chest palpitations,High
rapid onset recurring hand lesion,High
toxic episodic hand congestion,High
terminal slight case of ear burns,High
sharp recurring stomach spasm,High
critical severe episode of arm bleeding,High
complicated gradual abdomen weakness,High
explosive severe episode of liver palpitations,High
toxic liver bleeding,High
uncontrolled hand fracture,High
toxic acute case of ear rash,High
rapid onset liver fracture,High
advanced constant shoulder congestion,High
decompensated sudden ear bleeding,High
uncontrolled recurring knee trauma,High
profuse sudden onset of lung infection,High
life-threatening episodic shoulder lesion,High
complicated abdomen spasm,High
explosive heart fatigue,High
massive episodic knee ulcer,High
persistent high-grade chronic nose inflammation,High
decompensated sudden onset of foot infection,High
massive nose numbness,High
explosive leg trauma,High
massive slight case of head failure,High
hemorrhagic severe episode of throat stiffness,High
crushing lung pain,High
rapid onset foot fatigue,High
profuse heart bleeding,High
uncontrolled progressive leg tremor,High
intense progressive back stiffness,High
acute recurring head weakness,High
hemorrhagic constant knee numbness,High
complicated eye cramps,High
persistent high-grade shoulder stiffness,High
uncontrolled constant abdomen obstruction,High
severe lung shock,High
life-threatening progressive chest spasm,High
decompensated constant hand weakness,High
toxic hand obstruction,High
explosive recurring arm pain,High
toxic neck trauma,High
acute progressive head swelling,High
advanced occasional hand ulcer,High
toxic arm lesion,High
severe lung congestion,High
acute back pain,High
persistent high-grade episodic heart rash,High
uncontrolled progressive chest shock,High
crushing sudden leg fracture,High
severe progressive hand trauma,High
massive head shock,High
crushing lung spasm,High
intense back obstruction,High
persistent high-grade occasional arm trauma,High
decompensated stomach lesion,High
critical gradual throat cramps,High
complicated nose lesion,High
explosive episodic kidney congestion,High
acute lung inflammation,High
intense abdomen trauma,High
severe knee tremor,High
intense shoulder weakness,High
critical arm inflammation,High
crushing leg lesion,High
sharp acute case of back stiffness,High
rapid onset progressive nose congestion,High
acute occasional ear rash,High
profuse head infection,High
rapid onset leg spasm,High
decompensated neck spasm,High
toxic hand ulcer,High
uncontrolled severe episode of liver numbness,High
rapid onset lung pain,High
toxic recurring liver shock,High
terminal foot pain,High
complicated gradual stomach inflammation,High
hemorrhagic gradual shoulder failure,High
life-threatening ear numbness,High
explosive severe episode of back weakness,High
crushing kidney cramps,High
toxic severe episode of stomach obstruction,High
profuse slight case of arm trauma,High
critical recurring kidney infection,High
severe slight case of head stiffness,High
life-threatening knee stiffness,High
crushing liver failure,High
persistent high-grade occasional head pain,High
massive gradual leg burns,High
crushing slight case of eye shock,High
advanced chest swelling,High
hemorrhagic arm fatigue,High
acute foot bleeding,High
massive sudden onset of liver tremor,High
life-threatening nose pain,High
advanced shoulder pain,High
profuse progressive throat pain,High
life-threatening recurring nose lesion,High
intense lung tremor,High
advanced abdomen lesion,High
severe sudden kidney fracture,High
sharp progressive foot palpitations,High
massive head fatigue,High
terminal head spasm,High
intense recurring arm infection,High
severe hand cramps,High
sharp severe episode of hand spasm,High
life-threatening leg lesion,High
life-threatening occasional foot infection,High
acute episodic lung tremor,High
persistent high-grade knee stiffness,High
massive gradual back swelling,High
complicated gradual heart ulcer,High
crushing occasional heart inflammation,High
massive throat fatigue,High
terminal lung inflammation,High
critical knee burns,High
complicated chronic hand stiffness,High
decompensated slight case of abdomen numbness,High
acute ear infection,High
severe eye rash,High
persistent high-grade progressive head congestion,High
critical occasional heart lesion,High
sharp ear lesion,High
critical chest tremor,High
uncontrolled shoulder failure,High
massive nose pain,High
hemorrhagic ear palpitations,High
hemorrhagic liver congestion,High
explosive nose stiffness,High
crushing leg weakness,High
severe progressive ear cramps,High
advanced gradual neck spasm,High
rapid onset lung obstruction,High
life-threatening heart ulcer,High
severe arm infection,High
severe episodic kidney inflammation,High
explosive recurring stomach cramps,High
toxic liver numbness,High
intense sudden stomach pain,High
critical sudden hand infection,High
sharp sudden lung bleeding,High
severe leg failure,High
sharp knee stiffness,High
profuse chronic nose fracture,High
life-threatening gradual knee pain,High
sharp sudden onset of ear obstruction,High
persistent high-grade back failure,High
persistent high-grade chronic stomach congestion,High
crushing foot infection,High
advanced progressive arm rash,High
crushing shoulder rash,High
severe throat stiffness,High
persistent high-grade occasional throat pain,High
massive occasional back tremor,High
rapid onset kidney fracture,High
intense sudden eye bleeding,High
sharp progressive lung rash,High
rapid onset chest spasm,High
hemorrhagic slight case of leg shock,High
crushing acute case of abdomen pain,High
uncontrolled hand fracture,High
advanced occasional liver shock,High
acute ear obstruction,High
acute chronic back congestion,High
life-threatening liver inflammation,High
advanced back fracture,High
advanced chronic leg inflammation,High
advanced recurring ear ulcer,High
terminal constant nose palpitations,High
complicated foot fracture,High
advanced chronic foot lesion,High
complicated throat spasm,High
uncontrolled back palpitations,High
uncontrolled chronic nose numbness,High
hemorrhagic knee weakness,High
life-threatening constant eye obstruction,High
complicated gradual ear infection,High
crushing heart palpitations,High
toxic gradual eye burns,High
advanced leg congestion,High
life-threatening heart numbness,High
rapid onset eye rash,High
massive gradual arm cramps,High
terminal severe episode of lung cramps,High
terminal nose spasm,High
crushing acute case of leg palpitations,High
terminal head trauma,High
acute gradual back stiffness,High
intense foot inflammation,High
life-threatening kidney infection,High
sharp stomach failure,High
sharp nose trauma,High
uncontrolled leg pain,High
crushing back lesion,High
intense hand inflammation,High
toxic severe episode of liver burns,High
terminal slight case of chest obstruction,High
rapid onset recurring kidney infection,High
severe abdomen lesion,High
intense recurring lung fatigue,High
sharp stomach failure,High
crushing ear fatigue,High
life-threatening progressive leg numbness,High
severe abdomen ulcer,High
uncontrolled occasional abdomen burns,High
profuse slight case of head weakness,High
advanced severe episode of hand swelling,High
advanced hand shock,High
severe leg trauma,High
intense chronic kidney inflammation,High
massive episodic ear bleeding,High
toxic constant back obstruction,High
life-threatening heart rash,High
decompensated arm lesion,High
rapid onset throat trauma,High
decompensated constant head infection,High
persistent high-grade slight case of throat obstruction,High
severe arm lesion,High
toxic chronic liver stiffness,High
explosive lung fracture,High
severe head cramps,High
profuse back numbness,High
acute sudden kidney failure,High
decompensated knee infection,High
massive episodic stomach trauma,High
advanced head rash,High
rapid onset knee burns,High
critical recurring foot cramps,High
sharp gradual head cramps,High
toxic progressive back burns,High
explosive sudden liver congestion,High
intense arm stiffness,High
acute progressive heart stiffness,High
sharp recurring head cramps,High
explosive gradual leg weakness,High
profuse leg spasm,High
persistent high-grade kidney burns,High
profuse leg lesion,High
crushing leg pain,High
hemorrhagic episodic nose inflammation,High
advanced severe episode of eye failure,High
uncontrolled neck stiffness,High
persistent high-grade episodic neck lesion,High
uncontrolled eye shock,High
massive nose cramps,High
sharp acute case of back pain,High
severe abdomen tremor,High
intense recurring shoulder fracture,High
uncontrolled nose congestion,High
crushing progressive nose lesion,High
profuse constant shoulder fracture,High
decompensated abdomen spasm,High
acute recurring knee infection,High
terminal lung weakness,High
critical constant stomach shock,High
persistent high-grade chronic back inflammation,High
toxic leg tremor,High
explosive gradual heart inflammation,High
crushing neck infection,High
hemorrhagic slight case of stomach stiffness,High
explosive constant lung ulcer,High
intense acute case of throat fatigue,High
intense episodic back lesion,High
massive sudden arm weakness,High
profuse hand fracture,High
crushing severe episode of abdomen inflammation,High
persistent high-grade sudden onset of foot fatigue,High
decompensated sudden chest obstruction,High
life-threatening slight case of nose bleeding,High
complicated throat palpitations,High
profuse neck congestion,High
explosive gradual chest obstruction,High
critical slight case of arm shock,High
severe neck inflammation,High
decompensated stomach palpitations,High
terminal recurring ear fracture,High
rapid onset progressive abdomen spasm,High
terminal episodic hand infection,High
advanced abdomen burns,High
advanced kidney swelling,High
crushing acute case of chest palpitations,High
complicated slight case of heart stiffness,High
hemorrhagic nose fracture,High
sharp progressive leg rash,High
crushing nose inflammation,High
critical knee congestion,High
acute sudden onset of knee obstruction,High
acute stomach pain,High
explosive episodic abdomen rash,High
hemorrhagic chest shock,High
uncontrolled abdomen bleeding,High
complicated ear trauma,High
terminal recurring neck shock,High
acute constant hand cramps,High
explosive throat congestion,High
sharp kidney spasm,High
persistent high-grade heart ulcer,High
terminal neck swelling,High
rapid onset acute case of liver tremor,High
sharp chronic stomach palpitations,High
crushing liver trauma,High
profuse recurring arm fracture,High
terminal slight case of abdomen stiffness,High
persistent high-grade knee obstruction,High
critical recurring eye palpitations,High
acute severe episode of shoulder rash,High
intense leg fatigue,High
intense shoulder inflammation,High
uncontrolled recurring arm bleeding,High
life-threatening hand ulcer,High
intense leg inflammation,High
intense gradual chest swelling,High
life-threatening foot pain,High
terminal knee tremor,High
acute severe episode of abdomen numbness,High
intense sudden onset of arm weakness,High
hemorrhagic constant back tremor,High
acute sudden back fracture,High
persistent high-grade progressive kidney palpitations,High
profuse throat cramps,High
intense progressive leg infection,High
crushing ear numbness,High
rapid onset arm tremor,High
rapid onset acute case of heart obstruction,High
hemorrhagic throat shock,High
profuse kidney palpitations,High
decompensated chest numbness,High
massive neck obstruction,High
life-threatening sudden back congestion,High
intense knee palpitations,High
critical occasional kidney failure,High
uncontrolled throat tremor,High
critical knee fatigue,High
acute lung trauma,High
hemorrhagic chest lesion,High
uncontrolled liver congestion,High
uncontrolled knee burns,High
profuse episodic foot numbness,High
toxic kidney stiffness,High
rapid onset sudden neck shock,High
massive chest trauma,High
severe nose inflammation,High
sharp nose congestion,High
acute knee cramps,High
sharp episodic neck tremor,High
severe back infection,High
complicated leg fatigue,High
persistent high-grade lung failure,High
toxic severe episode of arm swelling,High
rapid onset ear failure,High
massive neck weakness,High
critical liver obstruction,High
critical foot lesion,High
massive occasional foot palpitations,High
sharp occasional nose pain,High
hemorrhagic lung cramps,High
severe episodic head fatigue,High
uncontrolled abdomen rash,High
sharp constant hand numbness,High
life-threatening gradual leg cramps,High
terminal occasional ear numbness,High
advanced slight case of neck infection,High
massive lung failure,High
profuse acute case of kidney stiffness,High
persistent high-grade constant abdomen palpitations,High
decompensated back failure,High
severe acute case of leg infection,High
rapid onset acute case of heart inflammation,High
profuse shoulder numbness,High
toxic gradual shoulder weakness,High
terminal kidney pain,High
profuse liver palpitations,High
terminal episodic back inflammation,High
uncontrolled liver pain,High
